age,education-num,hours-per-week,workclass_int,marital_status_int,occupation_int,relationship_int,race_int,sex_int,native_country_int,income_int
39,13,40,6.0,3,9.0,4,1,2,1.0,0
50,13,13,2.0,1,5.0,3,1,2,1.0,0
38,9,40,1.0,2,7.0,4,1,2,1.0,0
53,7,40,1.0,1,7.0,3,5,2,1.0,0
28,13,40,1.0,1,6.0,1,5,1,13.0,0
37,14,40,1.0,1,5.0,1,1,1,1.0,0
49,5,16,1.0,6,3.0,4,5,1,19.0,0
52,9,45,2.0,1,5.0,3,1,2,1.0,1
31,14,50,1.0,3,6.0,4,1,1,1.0,1
42,13,40,1.0,1,5.0,3,1,2,1.0,1
37,10,80,1.0,1,5.0,3,5,2,1.0,1
30,13,40,6.0,1,6.0,3,2,2,8.0,1
23,13,30,1.0,3,9.0,2,1,1,1.0,0
32,12,50,1.0,3,4.0,4,5,2,1.0,0
34,4,45,1.0,1,11.0,3,3,2,21.0,0
25,9,35,2.0,3,10.0,2,1,2,1.0,0
32,9,40,1.0,3,8.0,6,1,2,1.0,0
38,7,50,1.0,1,4.0,3,1,2,1.0,0
43,14,45,2.0,2,5.0,6,1,1,1.0,1
40,16,60,1.0,1,6.0,3,1,2,1.0,1
54,9,20,1.0,4,3.0,6,5,1,1.0,0
35,5,40,4.0,1,10.0,3,5,2,1.0,0
43,7,40,1.0,1,11.0,3,1,2,1.0,0
59,9,40,1.0,2,1.0,6,1,1,1.0,0
56,13,40,5.0,1,1.0,3,1,2,1.0,1
19,9,40,1.0,3,2.0,2,1,2,1.0,0
39,9,80,1.0,2,5.0,4,1,2,1.0,0
49,9,40,1.0,1,2.0,3,1,2,1.0,0
23,12,52,5.0,3,13.0,4,1,2,1.0,0
20,10,44,1.0,3,4.0,2,5,2,1.0,0
45,13,40,1.0,2,5.0,2,1,2,1.0,0
30,10,40,4.0,1,9.0,2,1,2,1.0,0
22,10,15,6.0,1,3.0,3,5,2,1.0,0
48,7,40,1.0,3,8.0,6,1,2,4.0,0
21,10,40,1.0,3,8.0,2,1,2,1.0,0
19,9,25,1.0,7,9.0,1,1,1,1.0,0
48,12,40,2.0,1,6.0,3,1,2,1.0,0
31,5,43,1.0,1,8.0,3,1,2,1.0,0
53,13,40,2.0,1,6.0,3,1,2,1.0,0
24,13,50,1.0,1,1.0,3,1,2,1.0,0
49,9,40,1.0,4,9.0,6,1,1,1.0,0
25,9,35,1.0,3,7.0,4,1,2,1.0,0
57,13,40,4.0,1,6.0,3,5,2,1.0,1
53,9,38,1.0,1,8.0,3,1,2,1.0,0
44,14,40,1.0,2,5.0,6,1,1,1.0,0
41,11,40,6.0,1,2.0,3,1,2,1.0,0
29,11,43,1.0,3,6.0,4,1,2,1.0,0
25,10,40,1.0,1,5.0,1,4,1,1.0,0
47,15,60,1.0,1,6.0,1,1,1,15.0,1
50,13,55,4.0,2,5.0,4,1,2,1.0,1
47,9,60,3.0,2,5.0,4,1,2,1.0,0
43,10,40,1.0,1,1.0,3,1,2,1.0,1
46,3,40,1.0,1,8.0,3,1,2,21.0,0
35,11,40,1.0,1,3.0,3,1,2,4.0,0
41,9,48,1.0,1,9.0,3,1,2,1.0,0
30,9,40,1.0,1,8.0,3,1,2,1.0,0
30,13,40,1.0,1,4.0,3,1,2,1.0,0
48,9,40,1.0,1,11.0,3,1,2,1.0,0
42,16,45,1.0,1,6.0,3,1,2,1.0,1
29,10,58,1.0,2,1.0,4,1,2,1.0,0
36,9,40,1.0,1,2.0,3,1,2,1.0,0
28,10,40,1.0,2,9.0,4,1,1,1.0,0
53,9,40,1.0,1,9.0,1,1,1,1.0,1
49,10,50,3.0,1,5.0,3,1,2,1.0,1
19,10,32,1.0,3,6.0,2,1,2,1.0,0
31,13,40,1.0,4,4.0,2,5,1,1.0,0
29,13,70,2.0,1,4.0,3,1,2,1.0,1
23,10,40,1.0,3,8.0,4,1,2,1.0,0
79,10,20,1.0,1,6.0,5,1,2,1.0,0
27,9,40,1.0,3,3.0,2,1,2,21.0,0
40,12,40,1.0,1,9.0,3,1,2,1.0,0
18,7,22,1.0,3,3.0,2,1,1,1.0,0
31,4,40,5.0,1,10.0,3,1,2,1.0,0
18,9,30,1.0,3,4.0,4,1,2,1.0,0
52,13,40,1.0,1,3.0,3,1,2,13.0,0
46,9,40,1.0,1,3.0,1,1,1,1.0,0
59,9,48,1.0,1,4.0,3,1,2,1.0,0
44,9,40,1.0,2,2.0,4,1,1,1.0,1
53,9,35,1.0,2,4.0,2,1,1,1.0,0
49,9,40,5.0,1,13.0,3,1,2,1.0,1
33,14,50,1.0,1,6.0,3,1,2,1.0,0
30,5,40,1.0,3,4.0,4,1,2,1.0,0
43,16,50,4.0,3,6.0,4,1,1,1.0,1
57,11,40,1.0,1,6.0,3,1,2,1.0,0
37,10,40,1.0,2,2.0,6,1,1,1.0,0
28,10,25,1.0,2,8.0,6,5,1,1.0,0
34,13,40,5.0,1,13.0,3,1,2,1.0,1
29,10,50,5.0,3,7.0,4,1,2,1.0,0
48,16,60,2.0,1,6.0,3,1,2,1.0,1
37,10,48,1.0,1,4.0,3,1,2,1.0,1
48,12,40,1.0,2,5.0,6,1,1,3.0,0
32,9,40,4.0,3,3.0,2,5,2,1.0,0
76,14,40,1.0,1,5.0,3,1,2,1.0,1
44,13,60,1.0,1,5.0,3,1,2,1.0,1
47,14,50,2.0,3,6.0,4,1,1,1.0,0
20,10,40,1.0,3,1.0,2,1,1,1.0,0
29,9,40,1.0,3,2.0,4,1,2,1.0,0
32,9,40,3.0,1,2.0,3,1,2,1.0,1
30,7,40,1.0,3,7.0,2,1,2,1.0,0
31,9,40,5.0,3,9.0,4,1,1,1.0,0
42,9,40,1.0,1,7.0,3,1,2,1.0,0
24,13,40,1.0,3,4.0,5,1,2,1.0,0
38,15,40,1.0,1,6.0,3,1,2,1.0,1
56,9,50,2.0,1,3.0,3,1,2,5.0,1
28,10,25,1.0,1,4.0,1,1,1,1.0,0
36,9,40,1.0,3,8.0,2,1,1,1.0,0
53,5,50,1.0,1,7.0,3,1,2,1.0,0
56,10,50,3.0,1,4.0,3,1,2,1.0,0
49,11,40,5.0,1,2.0,3,5,2,1.0,1
55,10,56,1.0,1,4.0,3,1,2,1.0,0
22,9,41,1.0,3,2.0,4,1,2,1.0,0
21,10,40,1.0,3,3.0,2,1,1,1.0,0
